season,draft_year,draft_team,draft_round,draft_ovr,pfr_id,cfb_id,player_name,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
2025,2025,Dallas Cowboys,7,247,AkinTo00,tommy-akingbesote-1,Tommy Akingbesote,DT,Maryland,6-4,306,5.09,,28,103,,
2025,2025,New York Giants,3,65,AlexDa01,darius-alexander-1,Darius Alexander,DT,Toledo,6-4,305,4.95,28,31.5,111,7.6,4.79
2025,2025,Jacksonville Jaguars,7,236,AlleLe01,lequint-allen-1,LeQuint Allen,RB,Syracuse,6-0,204,,,35,120,,
2025,2025,Washington Commanders,2,61,AmosTr00,trey-amos-1,Trey Amos,CB,Mississippi,6-1,195,4.43,13,32.5,126,,
2025,2025,Seattle Seahawks,2,50,ArroEl00,elijah-arroyo-1,Elijah Arroyo,TE,Miami,6-5,250,,22,,,,
2025,2025,Tennessee Titans,4,136,AyomEl00,elic-ayomanor-1,Elic Ayomanor,WR,Stanford,6-2,206,4.44,,38.5,127,,
2025,2025,New York Jets,5,176,BaroTy00,tyler-baron-1,Tyler Baron,EDGE,Miami,6-5,258,4.62,19,35.5,121,,
2025,2025,Denver Broncos,1,20,BarrJa01,jahdae-barron-1,Jahdae Barron,CB,Texas,5-11,194,4.39,,35,123,,
2025,2025,Minnesota Vikings,6,202,BartGa00,gavin-bartholomew-1,Gavin Bartholomew,TE,Pittsburgh,6-5,246,4.7,,,,,
2025,2025,Kansas City Chiefs,5,156,BassJe00,jeffrey-bassa-1,Jeffrey Bassa,LB,Oregon,6-1,232,4.63,21,38.5,118,7.34,
2025,2025,Las Vegas Raiders,2,58,BechJa00,jack-bech-1,Jack Bech,WR,TCU,6-1,214,,19,34.5,125,6.84,4.21
2025,2025,Green Bay Packers,2,54,BeltAn00,anthony-belton-1,Anthony Belton,OT,North Carolina St.,6-6,336,5.26,,29.5,107,7.77,
2025,2025,Pittsburgh Steelers,5,164,BlacYa00,yahya-black-1,Yahya Black,DT,Iowa,6-6,336,5.39,,25.5,101,7.63,4.72
2025,2025,Dallas Cowboys,1,12,BookTy00,tyler-booker-1,Tyler Booker,G,Alabama,6-5,321,5.38,,27,94,7.96,4.84
2025,2025,New England Patriots,6,182,BorrAn00,andres-borregales-1,Andres Borregales,K,Miami,5-11,199,,,,,,
2025,2025,Cincinnati Bengals,6,193,BrooTa00,tahj-brooks-1,Tahj Brooks,RB,Texas Tech,5-9,214,4.52,16,35,120,6.9,4.06
2025,2025,New Orleans Saints,3,71,BrouVe00,vernon-broughton-1,Vernon Broughton,DT,Texas,6-5,311,,,,,,
2025,2025,Denver Broncos,3,74,BryaPa00,pat-bryant-1,Pat Bryant,WR,Illinois,6-2,204,4.61,,37.5,124,,
2025,2025,Baltimore Ravens,4,129,BuchTe00,teddye-buchanan-1,Teddye Buchanan,LB,California,6-2,233,4.6,26,40,125,,
2025,2025,Arizona Cardinals,3,78,BurcJo00,jordan-burch-1,Jordan Burch,EDGE,Oregon,6-4,279,4.67,,,,,
2025,2025,Arizona Cardinals,5,174,BurkDe01,denzel-burke-1,Denzel Burke,CB,Ohio St.,5-11,186,4.48,,,,,
2025,2025,Los Angeles Chargers,3,86,CaldJa00,jamaree-caldwell-1,Jamaree Caldwell,DT,Oregon,6-2,332,5.16,,27,,,
2025,2025,Philadelphia Eagles,1,31,CampJi00,jihaad-campbell-1,Jihaad Campbell,LB,Alabama,6-3,235,4.52,,,127,,
2025,2025,New England Patriots,1,4,CampWi01,will-campbell-1,Will Campbell,OT,LSU,6-6,319,4.98,,32,113,,
2025,2025,New York Giants,1,3,CartAb00,abdul-carter-1,Abdul Carter,EDGE,Penn St.,6-3,250,,,,,,
2025,2025,Cincinnati Bengals,4,119,CartBa00,barrett-carter-1,Barrett Carter,LB,Clemson,6-0,231,,,34.5,116,,4.41
2025,2025,San Francisco 49ers,7,249,ColbCo00,connor-colby-1,Connor Colby,G,Iowa,6-6,309,5.11,,28.5,110,7.78,4.63
